geo_uid,ct_name,avg_income_2006,avg_rent_2006,avg_dwelling_cost_2006,years_to_save_2006,income_monthly_2006,pct_income_rent_2006,advocados_rent
9330133.01,133.01,75873,1191,1099329,40.53,6322.75,18.84,289.78
9330133.02,133.02,117480,1986,1266112,46.68,9790,20.29,483.21
9330134,134,75626,1907,1352025,49.85,6302.17,30.26,463.99
9330135,135,63134,2276,1174817,43.31,5261.17,43.26,553.77
9330140.02,140.02,43159,916,480242,4.43,3596.58,25.47,222.87
9330140.03,140.03,28312,986,586555,6.20,2359.33,41.79,239.9
9330140.04,140.04,32589,1194,456792,4.21,2715.75,43.97,290.51
9330141,141,39406,852,513072,4.85,3283.83,25.95,207.3
9330142.01,142.01,36236,1054,476922,4.40,3019.67,34.9,256.45
9330142.02,142.02,38164,1078,487319,4.49,3180.33,33.9,262.29
9330142.03,142.03,31173,990,453694,4.18,2597.75,38.11,240.88
9330143.01,143.01,28679,1189,539417,5.34,2389.92,49.75,289.29
9330143.02,143.02,27830,684,586249,6.20,2319.17,29.49,166.42
9330143.03,143.03,33243,1008,562516,5.76,2770.25,36.39,245.26
9330143.04,143.04,34931,1302,567722,5.86,2910.92,44.73,316.79
9330144.03,144.03,32813,1187,494236,4.56,2734.42,43.41,288.81
9330144.04,144.04,29002,908,393525,3.63,2416.83,37.57,220.92
9330144.05,144.05,25087,1221,528832,5.14,2090.58,58.4,297.08
9330144.06,144.06,32481,1094,466279,4.30,2706.75,40.42,266.18
9330145,145,33832,1061,529503,5.15,2819.33,37.63,258.15
9330146,146,30274,1132,452313,4.17,2522.83,44.87,275.43
9330147.01,147.01,23455,1171,437300,4.03,1954.58,59.91,284.91
9330147.04,147.04,25746,933,274573,2.53,2145.5,43.49,227.01
9330147.05,147.05,23543,1039,306208,2.82,1961.92,52.96,252.8
9330147.06,147.06,26799,1022,267340,2.46,2233.25,45.76,248.66
9330147.07,147.07,20592,920,270577,2.49,1716,53.61,223.84
9330147.08,147.08,23734,900,249582,2.30,1977.83,45.5,218.98
9330148,148,22276,906,381166,3.51,1856.33,48.81,220.44
9330149.02,149.02,30408,1162,572841,5.95,2534,45.86,282.73
9330149.03,149.03,36352,1226,605829,6.56,3029.33,40.47,298.3
9330149.04,149.04,30776,936,428779,3.95,2564.67,36.5,227.74
9330149.05,149.05,24614,1299,688377,8.08,2051.17,63.33,316.06
9330150,150,45267,935,418946,3.86,3772.25,24.79,227.49
9330151.01,151.01,23921,968,455937,4.20,1993.42,48.56,235.52
9330151.03,151.03,23901,1023,521152,5.00,1991.75,51.36,248.91
9330151.05,151.05,27047,946,449006,4.14,2253.92,41.97,230.17
9330151.06,151.06,24251,1021,502199,4.65,2020.92,50.52,248.42
9330160.01,160.01,48613,1225,631044,7.02,4051.08,30.24,298.05
9330160.02,160.02,48094,954,576776,6.02,4007.83,23.8,232.12
9330160.03,160.03,47481,907,563168,5.77,3956.75,22.92,220.68
